title,company,link
Data Analyst (Freelancer),Deccan AI Experts,https://in.linkedin.com/jobs/view/data-analyst-freelancer-at-deccan-ai-experts-4380376717?position=51&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=TBRAr7GYeGvhGVNYm69Q6w%3D%3D
Data Analyst,Virtusa,https://in.linkedin.com/jobs/view/data-analyst-at-virtusa-4345173534?position=52&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=83Art7DyDefhvO6Kr05BbA%3D%3D
"Reference Data Analyst (BRDS), AS",Deutsche Bank,https://in.linkedin.com/jobs/view/reference-data-analyst-brds-as-at-deutsche-bank-4384169453?position=53&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=qpSsDNnjV0CK6a%2Be5Pvhpw%3D%3D
Data Management Analysis,HSBC,https://in.linkedin.com/jobs/view/data-management-analysis-at-hsbc-4385117771?position=54&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=AAHcwW5ZhoO1BI%2FkY9B4qA%3D%3D
Data Analyst,Infosys,https://in.linkedin.com/jobs/view/data-analyst-at-infosys-4367272823?position=55&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=fA5h%2FIiev78VZMl%2Bw13izA%3D%3D
Data Analyst (Fresher),Clovity,https://in.linkedin.com/jobs/view/data-analyst-fresher-at-clovity-4387709126?position=56&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=LpobBS8qDVPkG7QVhqTVEg%3D%3D
Analyst - ECL & Loss forecasting,Godrej Capital,https://in.linkedin.com/jobs/view/analyst-ecl-loss-forecasting-at-godrej-capital-4382101005?position=57&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=QMJIxti6QkGthQ4dDBK%2BQw%3D%3D
Data Analyst,GACS,https://in.linkedin.com/jobs/view/data-analyst-at-gacs-4368784579?position=58&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=t7gIiiqI3B7zT2SFjsBSZQ%3D%3D
Data Analysis Intern,Discover Dollar Inc,https://in.linkedin.com/jobs/view/data-analysis-intern-at-discover-dollar-inc-4368444251?position=59&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=%2BSWYVsa%2BoQuYaKuA6p8N6w%3D%3D
Analyst-Data Science,American Express,https://in.linkedin.com/jobs/view/analyst-data-science-at-american-express-4388356040?position=60&pageNum=0&refId=1keNsyjZG1%2BuGMi%2FtuOo2g%3D%3D&trackingId=RY2kvZEHLkXxbPcPKdisRw%3D%3D
Business Analyst Intern (Entry Level) | Reporting • Analysis | Remote,SkillFied Mentor,https://in.linkedin.com/jobs/view/business-analyst-intern-entry-level-reporting-%E2%80%A2-analysis-remote-at-skillfied-mentor-4387293199?position=1&pageNum=0&refId=888rX%2F0Ua3kwQuA6XkvNMA%3D%3D&trackingId=0KGGSDCX7g7G0st%2BdtogPg%3D%3D
